URI;Data;ID;Tipo de erro;Nivel de Conformidade;Critério;Descrição;Número de ocorrências;Valor;Pontuação
https://www.sporttv.pt/;2023-06-14 15:49:33;img_01b;Erro;A;1.1.1;Encontrei 22 imagens na página que não têm o necessário equivalente alternativo em texto.;22;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;a_03;Erro;A;2.4.4 2.4.9 4.1.2;Encontrei 3 links cujo conteúdo está vazio. Ou melhor, são compostos apenas por uma imagem e a imagem tem um equivalente textual alternativo vazio (i.e. alt="").;3;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;a_09;Aviso;AAA;2.4.9;Encontrei 2 grupos de links com o mesmo texto mas cujo destino é diferente.;2;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;a_01b;Erro;A;2.4.1;Constatei que a primeira hiperligação da página não permite saltar diretamente para a área do conteúdo principal.;0;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;hx_01b;Aviso;AAA;1.3.1 2.4.10;Encontrei 2 cabeçalhos na página.;2;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;input_02;Aviso;A;1.1.1 1.3.1 3.3.2 4.1.2;Encontrei 1 controlo de formulário sem nome acessível.;1;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;form_01a;Sucesso;A;3.2.2;Constatei que todos os formulários têm um botão para submeter os dados ao servidor.;2;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;justif_txt_02;Aviso;AAA;1.4.8;Identifiquei 1 caso em que se usa texto justificado via CSS.;1;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;w3c_validator_01b;Aviso;A;4.1.1;Perguntei ao validador de HTML do W3C e constatei que há 212 erros de HTML.;212;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;layout_01a;Sucesso;A;1.3.1;Constatei que não há elementos obsoletos usados para controlo visual da apresentação.;0;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;lang_01;Aviso;A;3.1.1;Verifiquei que o idioma principal da página está marcado como "pt".;1;pt;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;title_06;Sucesso;A;2.4.2;Encontrei um título na página e ele parece-me correto.;1;SPORT TV - Home;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;heading_01;Sucesso;A;1.3.1;Constatei que todos os cabeçalhos desta página têm nome acessível;2;;8,3
https://www.sporttv.pt/;2023-06-14 15:49:33;aria_01;Sucesso;A;1.3.1;Verifiquei que todos os elementos com papel semântico definido explicitamente estão dentro dos contextos obrigatórios.;10;;8,3
